nome,descricao,sku,codigo_fornecedor,preco_custo,preco_venda,categoria,marca,cor,tamanho,quantidade_estoque,ativo
Vestido Floral Infantil,Confortável vestido com estampa floral para meninas,VD-FLOR-001,FORN-1234,45.00,89.90,Vestidos,Marca Kids,Rosa,P,10,sim
Conjunto Short e Camiseta,Conjunto casual para meninos,CS-SHORT-002,FORN-1235,35.00,79.90,Conjuntos,Marca Kids,Azul,M,15,sim
Saia Plissada,Perfeita para ocasiões especiais,SP-PLIS-003,FORN-1236,30.00,69.90,Saias,Marca Kids,Branco,G,8,sim
Blusa Manga Longa,Blusa confortável para o inverno,,FORN-1237,25.00,59.90,Blusas,Marca Kids,Cinza,,20,sim
Calça Jeans Infantil,Calça jeans resistente e confortável,CJ-JEANS-005,FORN-1238,50.00,99.90,Calças,Marca Kids,Azul Marinho,GG,12,sim
Boneca de Pelúcia,Boneca macia e fofa para crianças,,FORN-1239,20.00,49.90,Brinquedos,Marca Kids,,,5,sim
Kit de Acessórios,Kit com vários acessórios para meninas,KIT-ACC-007,FORN-1240,15.00,39.90,Acessórios,Marca Kids,Estampado,,25,sim
Produto Sem Preço,Produto para teste sem preço definido,TEST-001,FORN-1241,,,Teste,Marca Kids,Verde,M,0,não
Vestido de Festa,Vestido elegante para ocasiões especiais,VD-FEST-008,FORN-1242,,129.90,Vestidos,Marca Kids,Rosa,G,8,sim
Conjunto Esportivo,Conjunto para atividades físicas,CE-ESP-009,FORN-1243,,89.90,Conjuntos,Marca Kids,Avermelhado,M,12,sim
